#Station      Latitude       Longitude 
  ANMO         34.9459       -106.4572
  ANTO         39.8680         32.7934
  BILL         68.0653        166.4531
  CASY        -66.2792        110.5354
  CHTO         18.8141         98.9443
  COLA         64.8736       -147.8616
   COR         44.5855       -123.3046
  CTAO        -20.0882        146.2545
   DAV          7.0697        125.5791
  DWPF         28.1103        -81.4327
  FUNA         -8.5259        179.1966
   GNI         40.1480         44.7410
  GUMO         13.5893        144.8684
   HKT         29.9618        -95.8384
   HNR         -9.4387        159.9475
  INCN         37.4776        126.6239
   KEV         69.7565         27.0035
   KIP         21.4200       -158.0112
  KMBO         -1.1271         37.2525
  KONO         59.6491          9.5982
   LSZ        -15.2779         28.1882
   LVC        -22.6127        -68.9111
  MAJO         36.5457        138.2041
  MBWA        -21.1590        119.7313
  MIDW         28.2156       -177.3698
  NWAO        -32.9277        117.2390
   PAB         39.5446         -4.3499
  PAYG         -0.6742        -90.2861
   PET         53.0233        158.6499
  PMSA        -64.7744        -64.0489
  POHA         19.7573       -155.5326
  QSPA        -89.9289        144.4382
   RAO        -29.2450       -177.9290
   RAR        -21.2125       -159.7733
  RCBR         -5.8274        -35.9014
  RSSD         44.1212       -104.0359
   SDV          8.8839        -70.6340
   SJG         18.1091        -66.1500
  SNZO        -41.3087        174.7043
  TATO         24.9735        121.4971
  TIXI         71.6341        128.8667
  TRIS        -37.0681        -12.3152
  TRQA        -38.0568        -61.9787
   TUC         32.3098       -110.7847
   ULN         47.8651        107.0532
  WAKE         19.2834        166.6520
   WCI         38.2289        -86.2939
   YAK         62.0310        129.6805
   YSS         46.9587        142.7604
  KONO         59.6491          9.5982
